season,team,player_name,player_sofa_id,tm_href,position,position_label,birth_date,age,market_value,rating,goals,assists,expectedGoals,expectedAssists,minutesPlayed,matchesStarted,appearances,yellowCards,redCards,shotsOnTarget,accuratePassesPercentage,keyPasses,successfulDribblesPercentage,tackles,interceptions,bigChancesCreated,bigChancesMissed
Bundesliga 25/26,1. FC Union Berlin,Matheo Raab,842718,/matheo-raab/profil/spieler/386685,G,Goleiro,1998-12-18,26.6,600000.0,9.7,0,0,,0.0,90,1,1,0,0,0,53.13,0,0.0,0,0,0,0
Bundesliga 25/26,1. FC Union Berlin,Carl Klaus,148167,/carl-klaus/profil/spieler/161057,G,Goleiro,1994-01-16,31.5,350000.0,7.23,0,0,,0.01,329,3,4,0,0,0,61.47,0,0.0,0,0,0,0
Bundesliga 25/26,1. FC Union Berlin,Christopher Trimmel,48557,/christopher-trimmel/profil/spieler/75921,M,Meio-campo,1987-02-24,38.4,600000.0,7.02,0,3,0.09,6.41,1875,22,29,8,0,1,68.04,53,16.67,38,11,11,0
Bundesliga 25/26,1. FC Union Berlin,Josip Juranović,791642,/josip-juranovic/profil/spieler/362977,M,Meio-campo,1995-08-16,30.0,2000000.0,6.98,1,1,0.69,1.07,334,3,11,1,0,1,74.81,12,0.0,7,1,3,0
Bundesliga 25/26,1. FC Union Berlin,Marin Ljubičić,1090010,/marin-ljubicic/profil/spieler/838236,F,Atacante,2002-02-28,23.4,2000000.0,6.95,2,0,1.35,0.0,20,0,2,0,0,2,40.0,0,100.0,0,0,0,0
Bundesliga 25/26,1. FC Union Berlin,Leopold Querfeld,1086547,/leopold-querfeld/profil/spieler/597432,D,Defensor,2003-12-20,21.6,20000000.0,6.87,3,0,3.69,1.77,2704,30,31,6,0,10,79.95,21,57.14,52,36,3,2
Bundesliga 25/26,1. FC Union Berlin,Diogo Leite,855663,/diogo-leite/profil/spieler/357156,D,Defensor,1999-01-23,26.5,12000000.0,6.77,0,0,1.21,1.08,1970,23,23,4,0,1,76.49,9,50.0,33,43,0,2
Bundesliga 25/26,1. FC Union Berlin,Aljoscha Kemlein,1198074,/aljoscha-kemlein/profil/spieler/692737,M,Meio-campo,2004-08-02,21.0,12000000.0,6.76,0,2,1.18,2.31,1967,23,30,4,0,2,76.79,15,70.83,40,16,3,1
Bundesliga 25/26,1. FC Union Berlin,Oliver Burke,608362,/oliver-burke/profil/spieler/341317,F,Atacante,1997-04-07,28.3,3000000.0,6.75,6,2,5.18,1.96,1691,21,29,4,0,15,72.13,22,31.43,12,5,3,6
Bundesliga 25/26,1. FC Union Berlin,Danilho Doekhi,830803,/danilho-doekhi/profil/spieler/387047,D,Defensor,1998-06-30,27.1,13000000.0,6.75,5,0,4.25,1.61,3060,34,34,4,0,11,77.34,8,75.0,44,40,0,4
